@relation '1year-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT20)'

@attribute Attr1 numeric
@attribute Attr2 numeric
@attribute Attr3 numeric
@attribute Attr4 numeric
@attribute Attr5 numeric
@attribute Attr6 numeric
@attribute Attr7 numeric
@attribute Attr8 numeric
@attribute Attr9 numeric
@attribute Attr10 numeric
@attribute Attr11 numeric
@attribute Attr12 numeric
@attribute Attr13 numeric
@attribute Attr14 numeric
@attribute Attr15 numeric
@attribute Attr16 numeric
@attribute Attr17 numeric
@attribute Attr18 numeric
@attribute Attr19 numeric
@attribute Attr20 numeric
@attribute Attr21 numeric
@attribute Attr22 numeric
@attribute Attr23 numeric
@attribute Attr24 numeric
@attribute Attr25 numeric
@attribute Attr26 numeric
@attribute Attr27 numeric
@attribute Attr28 numeric
@attribute Attr29 numeric
@attribute Attr30 numeric
@attribute Attr31 numeric
@attribute Attr32 numeric
@attribute Attr33 numeric
@attribute Attr34 numeric
@attribute Attr35 numeric
@attribute Attr36 numeric
@attribute Attr37 numeric
@attribute Attr38 numeric
@attribute Attr39 numeric
@attribute Attr40 numeric
@attribute Attr41 numeric
@attribute Attr42 numeric
@attribute Attr43 numeric
@attribute Attr44 numeric
@attribute Attr45 numeric
@attribute Attr46 numeric
@attribute Attr47 numeric
@attribute Attr48 numeric
@attribute Attr49 numeric
@attribute Attr50 numeric
@attribute Attr51 numeric
@attribute Attr52 numeric
@attribute Attr53 numeric
@attribute Attr54 numeric
@attribute Attr55 numeric
@attribute Attr56 numeric
@attribute Attr57 numeric
@attribute Attr58 numeric
@attribute Attr59 numeric
@attribute Attr60 numeric
@attribute Attr61 numeric
@attribute Attr62 numeric
@attribute Attr63 numeric
@attribute Attr64 numeric
@attribute class {0,1}

@data
0.17419,0.41299,0.14371,1.348,-28.982,0.60383,0.21946,1.1225,1.1961,0.46359,0.21946,0.53139,0.14233,0.21946,592.24,0.6163,2.4213,0.21946,0.12272,37.573,0.9969,0.2951,0.097402,0.75641,0.46359,0.50669,1.9737,0.32417,5.9473,0.22493,0.12272,100.82,3.6203,0.71453,0.2951,1.8079,1.2314e+005,0.46359,0.16501,0.21282,0.041124,0.16501,95.682,58.109,0.94621,0.90221,44.941,0.26003,0.1454,1.348,0.41299,0.27622,1.0457,1.0458,1.2728e+005,0.16396,0.37574,0.83604,6.5269e-006,9.7145,6.2813,84.291,4.3303,4.0341,0
0.14624,0.46038,0.2823,1.6294,2.5952,0,0.17185,1.1721,1.6018,0.53962,0.17579,0.38317,0.12647,0.17185,829.46,0.44004,2.1721,0.17185,0.10728,60.954,5.0889,0.17571,0.091295,?,0.17523,0.38442,44.593,1.0486,4.0792,0.24384,0.10974,105.09,3.4733,3.3836,0.044076,1.6018,?,0.53962,0.027516,0.16406,0.074333,0.10969,149.75,88.801,0.54669,1.033,62.678,0.14497,0.090503,1.5874,0.44849,0.28791,2.0044,2.0044,3387.8,0.027516,0.271,0.90108,0,5.9882,4.1103,102.19,3.5716,5.95,0
0.00059529,0.22612,0.48839,3.1599,84.874,0.19114,0.0045718,2.9881,1.0077,0.67566,0.0045718,0.020219,0.030966,0.0045718,2094.1,0.1743,4.4225,0.0045718,0.0035921,53.881,0.67451,0.04061,0.00046772,0.2347,0.67566,0.15672,0.32153,1.7107,4.622,0.036196,0.0035921,65.345,5.5857,0.1796,0.04061,1.3425,?,0.67566,0.031907,0.84469,0.098528,0.031907,150.13,96.251,0.0031684,2.329,54.296,0.0057691,0.0045328,3.1599,0.22612,0.17903,2.3667,2.3667,20453,0.0076387,0.00088105,0.99236,0,6.7742,3.7922,64.846,5.6287,4.4581,0
0.024526,0.43236,0.27546,1.7833,-10.105,0.56944,0.024526,1.3057,1.0509,0.56453,0.024526,0.069747,0.036812,0.024526,3299.4,0.11063,2.3129,0.024526,0.018876,86.317,0.62795,0.055446,0.018876,0.56944,0.56453,0.11063,0.44844,0.73869,4.26,0.28624,0.018876,103.81,3.5161,0.12824,0.055446,1.3068,3.9624,0.64524,0.042673,0.17826,0.1805,0.042673,158.55,72.237,0.079819,0.90954,90.707,0.032141,0.024737,1.4504,0.35164,0.2844,1.5139,1.7303,5012.6,0.048398,0.043445,0.9516,0.14298,4.2286,5.0528,98.783,3.695,3.4844,0
0.18829,0.41504,0.34231,1.9279,-58.274,0,0.23358,1.4094,1.3393,0.58496,0.23881,0.63317,0.1878,0.23358,602.31,0.606,2.4094,0.23358,0.17441,140.86,1.2039,0.23493,0.14059,0,0.5725,0.49687,44.947,1.1853,4.6033,0.30691,0.17784,122.09,2.9897,2.6574,0.23635,1.3393,4.549,0.62769,0.17648,0.013769,0.054712,0.17542,192.45,51.585,0.36429,0.52685,171.05,0.21699,0.16203,1.7136,0.36891,0.33449,2.0256,2.1735,13730,0.17648,0.32188,0.82635,0.073039,2.5912,7.0756,100.54,3.6303,4.6375,0
0.18206,0.55615,0.32191,1.6045,16.314,0,0.18206,0.79808,1.8126,0.44385,0.20766,0.34188,0.27163,0.18206,412.3,0.88528,1.7981,0.18206,0.10045,43.168,1.2724,0,0.10045,?,0.416,0.88528,0,2.2118,3.8104,0.29926,0.22877,241.41,1.512,1.4478,0.029538,1.8126,49.017,0.45691,0.016296,0.1856,0.059746,0,152.16,108.99,0.8493,1.2019,97.177,-0.31028,-0.17119,1.5364,0.53254,0.6614,3.0496,3.1393,2080.6,0.55577,0.41019,0.46957,0.029421,8.4553,3.3488,107.24,3.4036,12.454,0
0.11503,0.036659,0.92345,112.63,55.58,0,0.14215,26.279,0.44339,0.96334,0.1435,17.183,0.32533,0.14215,92.759,3.9349,27.279,0.14215,0.32061,19.801,0.82872,0.082265,0.25943,10.573,0.96082,3.195,61.21,13.526,4.339,-0.055356,0.32222,7.2995,50.003,11.284,0.029724,0.44339,58.907,0.97875,0.067038,108.44,0.014485,0.18554,28.536,8.7355,4.7821,109.72,21.224,0.080169,0.18081,25.416,0.0082728,0.019999,14.11,14.336,20158,0.067038,0.1194,0.75777,0.015995,18.433,41.783,6.8102,53.596,6.4942,0
0.0098323,0.67066,0.13546,1.2393,-107.73,-0.0014006,0.013422,0.49108,1.1825,0.32934,0.055717,0.023711,0.047491,0.013422,4359.1,0.083733,1.4911,0.013422,0.011351,44.614,1.013,0.04612,0.0083151,0,0.3105,0.078381,1.0904,0.45384,5.9673,0.56717,0.011351,217.81,1.7455,1.4733,0.23389,1.1825,11.749,0.37675,0.1978,0.46285,0.25159,0.039003,135.67,91.058,0.068029,0.98398,53.392,0.0033856,0.0028632,1.046,0.56606,0.57291,1.1034,1.2622,1.2393,0.1978,0.029854,0.83478,0.14394,8.1813,4.0084,174.73,2.0889,3.9616,0
0.23895,0.55473,0.40697,1.7609,-22.907,0,0.29714,0.80268,2.3317,0.44527,0.33061,0.55553,0.13198,0.29714,657.95,0.55475,1.8027,0.29714,0.12743,81.972,1.0467,0.33015,0.10248,?,0.43913,0.44985,9.8633,6.9983,3.911,0.20211,0.13836,97.4,3.7474,3.6133,0.32732,2.3317,21.065,0.46512,0.14038,0.17507,0.054265,0.14159,132.77,50.802,0.4563,0.78182,95.359,0.31955,0.13704,1.6978,0.53488,0.26685,7.6569,7.9983,3315.2,0.14038,0.53663,0.87292,0.044584,4.4527,7.1847,83.727,4.3594,40.097,0
-0.11986,0.60733,0.041368,1.0688,-37.595,-0.44797,-0.11986,0.64655,3,0.39267,-0.11986,-0.1993,0.011424,-0.11986,6467.9,0.056432,1.6466,-0.11986,-0.039953,28.419,0.858,0,-0.039953,?,-0.52078,0.056432,?,0.11581,3.3322,0.19386,-0.079906,99.456,3.67,3.6342,0.0069493,3,?,0.39267,0.0023164,0.079719,0.13134,0,72.372,43.953,-0.51315,0.6804,38.627,-0.15413,-0.051377,1.0584,0.60142,0.27248,1.0993,1.0993,88.899,0.26428,-0.30525,0.73749,0,12.844,8.3043,73.172,4.9883,8.3984,0
